| UFV02 | 2.1 | CCTV_ORE_01 | 327+675 | Cámara Estación | Derecha | PK327+675 Derecha | EQUIPO ITS | CCTV Fija | SWA_ORE_01 | TIPO 2 | TBD | TBD |
| UFV02 | 2.1 | BALIZA_MAG_SALIDA | 332+817 | Baliza Salida Puente | Centro | PK332+817 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV02 | 2.1 | PUENTE_RIO_MAGDALENA_FIN | 332+817 | Puente Río Magdalena - Fin | Centro | PK332+817 Centro | INFRAESTRUCTURA | Puente Prioritario | N/A | N/A | TBD | TBD |
| UFV02 | 2.1 | CCTV_MAG_05 | 332+817 | Cámara Puente Salida Sur | Izquierda | PK332+817 Izquierda | EQUIPO ITS | CCTV PTZ | SWA_MAG_01 | TIPO 2 | TBD | TBD |
| UFV02 | 2.1 | SEÑAL_PROT_MAG_02 | 333+000 | Señal Protección Puente | Derecha | PK333+000 Derecha | SEÑALIZACION | Señal LED Principal | N/A | TIPO 6 | TBD | TBD |
| UFV02 | 2.1 | HBD_03_PRE_OLAYA | 335+000 | Detector Caja Caliente 03 | Centro | PK335+000 Centro | EQUIPO ITS | HBD Sistema | SWA_HBD_03 | TIPO 4 | TBD | TBD |
| UFV02 | 2.1 | BALIZA_335 | 335+000 | Baliza Kilometraje | Centro | PK335+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV03 | 2.1 | ESTACION_PUERTO_OLAYA | 338+250 | Estación Principal | Centro | PK338+250 Centro | EDIFICACION | Estación Clase A | N/A | N/A | TBD | TBD |
| UFV03 | 2.1 | SE_PUERTO_OLAYA | 338+250 | Subestación Eléctrica | Derecha | PK338+250 Derecha | ENERGIA | Subestación MT/BT | N/A | N/A | TBD | TBD |
| UFV03 | 2.1 | CTC_PUERTO_OLAYA | 338+250 | Puesto Control CTC | Centro | PK338+250 Centro | CONTROL | CTC Local | SWA_OLA_01 | TIPO 7 | TBD | TBD |
| UFV03 | 2.1 | RBC_02_PUERTO_OLAYA | 338+250 | Radio Block Center 02 | Centro | PK338+250 Centro | CONTROL | RBC ETCS L2 | SWA_OLA_01 | TIPO 7 | TBD | TBD |
| UFV03 | 2.1 | EBT_07_PUERTO_OLAYA | 338+250 | Estación Base TETRA 07 | Derecha | PK338+250 Derecha | TELECOMUNICACIONES | TETRA BS | SWA_OLA_01 | TIPO 5 | TBD | TBD |
| UFV03 | 2.1 | CCTV_OLA_01 | 338+300 | Cámara Entrada | Derecha | PK338+300 Derecha | EQUIPO ITS | CCTV PTZ | SWA_OLA_02 | TIPO 2 | TBD | TBD |
| UFV03 | 2.1 | CCTV_OLA_02 | 338+350 | Cámara Andén | Izquierda | PK338+350 Izquierda | EQUIPO ITS | CCTV Fija | SWA_OLA_02 | TIPO 2 | TBD | TBD |
| UFV03 | 2.1 | SAI_PUERTO_OLAYA | 338+250 | UPS Estación | Centro | PK338+250 Centro | ENERGIA | UPS 40kVA | N/A | N/A | TBD | TBD |
| UFV03 | 2.1 | NODO_FO_PUERTO_OLAYA | 338+250 | Nodo Fibra Óptica Distribución | Centro | PK338+250 Centro | TELECOMUNICACIONES | ODF 48 hilos | SWA_OLA_01 | TIPO 5 | TBD | TBD |
| UFV03 | 2.1 | BALIZA_OLA_01 | 338+250 | Baliza Entrada | Centro | PK338+250 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV03 | 2.1 | DESVIO_OLA_01 | 338+400 | Desvío Apartadero | Derecha | PK338+400 Derecha | VIA | Desvío Motorizado | N/A | N/A | TBD | TBD |
| UFV03 | 2.1 | BALIZA_340 | 340+000 | Baliza Kilometraje | Centro | PK340+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV03 | 2.1 | EMPALME_FO_11 | 342+000 | Empalme Fibra Óptica | Izquierda | PK342+000 Izquierda | TELECOMUNICACIONES | Caja Empalme | N/A | N/A | TBD | TBD |
| UFV03 | 2.1 | BALIZA_345 | 345+000 | Baliza Kilometraje | Centro | PK345+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV03 | 2.1 | SEÑAL_INT_08 | 348+000 | Señal Intermedia | Derecha | PK348+000 Derecha | SEÑALIZACION | Señal LED | N/A | TIPO 6 | TBD | TBD |
| UFV03 | 2.1 | BALIZA_348 | 348+000 | Baliza Señal | Centro | PK348+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV03 | 2.1 | BALIZA_350 | 350+000 | Baliza Kilometraje | Centro | PK350+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV34 | 2.1 | SEÑAL_PROT_CAR_01 | 354+000 | Señal Protección Puente Carare | Derecha | PK354+000 Derecha | SEÑALIZACION | Señal LED Principal | N/A | TIPO 6 | TBD | TBD |
| UFV34 | 2.1 | ESTACION_SAN_JUAN_COBARIAS | 354+148 | Estación Menor | Centro | PK354+148 Centro | EDIFICACION | Apeadero | N/A | N/A | TBD | TBD |
| UFV34 | 2.1 | EBT_08_SAN_JUAN | 354+148 | Estación Base TETRA 08 | Derecha | PK354+148 Derecha | TELECOMUNICACIONES | TETRA BS | SWA_SJC_01 | TIPO 5 | TBD | TBD |
| UFV34 | 2.1 | CCTV_SJC_01 | 354+148 | Cámara Estación | Derecha | PK354+148 Derecha | EQUIPO ITS | CCTV Fija | SWA_SJC_01 | TIPO 2 | TBD | TBD |
| UFV34 | 2.1 | BALIZA_SJC_01 | 354+148 | Baliza Entrada | Centro | PK354+148 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV34 | 2.1 | BALIZA_PROT_CAR_01 | 354+200 | Baliza Protección | Centro | PK354+200 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV34 | 2.1 | PUENTE_RIO_CARARE_INICIO | 354+348 | Puente/Viaducto Río Carare - Inicio | Centro | PK354+348 Centro | INFRAESTRUCTURA | Puente Prioritario | N/A | N/A | TBD | TBD |
| UFV34 | 2.1 | CCTV_CAR_01 | 354+348 | Cámara Entrada Norte | Derecha | PK354+348 Derecha | EQUIPO ITS | CCTV PTZ | SWA_CAR_01 | TIPO 2 | TBD | TBD |
| UFV34 | 2.1 | BALIZA_CAR_ENTRADA | 354+348 | Baliza Entrada Puente | Centro | PK354+348 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV34 | 2.1 | EMPALME_FO_12 | 355+000 | Empalme Fibra Óptica | Derecha | PK355+000 Derecha | TELECOMUNICACIONES | Caja Empalme | N/A | N/A | TBD | TBD |
| UFV34 | 2.1 | BALIZA_355 | 355+000 | Baliza Kilometraje | Centro | PK355+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV34 | 2.1 | BALIZA_360 | 360+000 | Baliza Kilometraje | Centro | PK360+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV34 | 2.1 | CCTV_CAR_02 | 365+000 | Cámara Tramo Medio Viaducto | Izquierda | PK365+000 Izquierda | EQUIPO ITS | CCTV PTZ | SWA_CAR_01 | TIPO 2 | TBD | TBD |
| UFV34 | 2.1 | DETECTOR_SISMICO_CAR_01 | 365+000 | Detector Sísmico | Centro | PK365+000 Centro | EQUIPO ITS | Detector Sísmico | SWA_CAR_01 | TIPO 4 | TBD | TBD |
| UFV34 | 2.1 | BALIZA_365 | 365+000 | Baliza Kilometraje | Centro | PK365+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV34 | 2.1 | BALIZA_370 | 370+000 | Baliza Kilometraje | Centro | PK370+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV34 | 2.1 | CCTV_CAR_03 | 375+000 | Cámara Tramo Final Viaducto | Derecha | PK375+000 Derecha | EQUIPO ITS | CCTV PTZ | SWA_CAR_01 | TIPO 2 | TBD | TBD |
| UFV34 | 2.1 | BALIZA_375 | 375+000 | Baliza Kilometraje | Centro | PK375+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV34 | 2.1 | BALIZA_CAR_SALIDA | 375+928 | Baliza Salida Puente | Centro | PK375+928 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV34 | 2.1 | PUENTE_RIO_CARARE_FIN | 375+928 | Puente/Viaducto Río Carare - Fin | Centro | PK375+928 Centro | INFRAESTRUCTURA | Puente Prioritario | N/A | N/A | TBD | TBD |
| UFV34 | 2.1 | CCTV_CAR_04 | 375+928 | Cámara Salida Sur | Izquierda | PK375+928 Izquierda | EQUIPO ITS | CCTV PTZ | SWA_CAR_01 | TIPO 2 | TBD | TBD |
| UFV35 | 2.1 | SEÑAL_PROT_CAR_02 | 376+000 | Señal Protección Puente Carare | Derecha | PK376+000 Derecha | SEÑALIZACION | Señal LED Principal | N/A | TIPO 6 | TBD | TBD |
| UFV35 | 2.1 | ESTACION_CORARE | 376+571 | Estación Menor | Centro | PK376+571 Centro | EDIFICACION | Apeadero | N/A | N/A | TBD | TBD |
| UFV35 | 2.1 | EBT_09_CORARE | 376+571 | Estación Base TETRA 09 | Derecha | PK376+571 Derecha | TELECOMUNICACIONES | TETRA BS | SWA_COR_01 | TIPO 5 | TBD | TBD |
| UFV35 | 2.1 | CCTV_COR_01 | 376+571 | Cámara Estación | Derecha | PK376+571 Derecha | EQUIPO ITS | CCTV Fija | SWA_COR_01 | TIPO 2 | TBD | TBD |
| UFV35 | 2.1 | BALIZA_COR_01 | 376+571 | Baliza Entrada | Centro | PK376+571 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV35 | 2.1 | BALIZA_380 | 380+000 | Baliza Kilometraje | Centro | PK380+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV35 | 2.1 | EMPALME_FO_13 | 382+000 | Empalme Fibra Óptica | Izquierda | PK382+000 Izquierda | TELECOMUNICACIONES | Caja Empalme | N/A | N/A | TBD | TBD |
| UFV35 | 2.1 | BALIZA_385 | 385+000 | Baliza Kilometraje | Centro | PK385+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV35 | 2.1 | SEÑAL_INT_09 | 387+000 | Señal Intermedia | Derecha | PK387+000 Derecha | SEÑALIZACION | Señal LED | N/A | TIPO 6 | TBD | TBD |
| UFV35 | 2.1 | BALIZA_387 | 387+000 | Baliza Señal | Centro | PK387+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV36 | 2.1 | BALIZA_390 | 390+000 | Baliza Kilometraje | Centro | PK390+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV36 | 2.1 | ESTACION_LAS_MONTOYA | 390+050 | Estación Menor | Centro | PK390+050 Centro | EDIFICACION | Apeadero | N/A | N/A | TBD | TBD |
| UFV36 | 2.1 | EBT_10_LAS_MONTOYA | 390+050 | Estación Base TETRA 10 | Derecha | PK390+050 Derecha | TELECOMUNICACIONES | TETRA BS | SWA_MON_01 | TIPO 5 | TBD | TBD |
| UFV36 | 2.1 | CCTV_MON_01 | 390+050 | Cámara Estación | Derecha | PK390+050 Derecha | EQUIPO ITS | CCTV Fija | SWA_MON_01 | TIPO 2 | TBD | TBD |
| UFV36 | 2.1 | BALIZA_MON_01 | 390+050 | Baliza Entrada | Centro | PK390+050 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV36 | 2.1 | EMPALME_FO_14 | 393+000 | Empalme Fibra Óptica | Derecha | PK393+000 Derecha | TELECOMUNICACIONES | Caja Empalme | N/A | N/A | TBD | TBD |
| UFV36 | 2.1 | BALIZA_395 | 395+000 | Baliza Kilometraje | Centro | PK395+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV36 | 2.1 | BALIZA_400 | 400+000 | Baliza Kilometraje | Centro | PK400+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV36 | 2.1 | SEÑAL_INT_10 | 403+000 | Señal Intermedia | Derecha | PK403+000 Derecha | SEÑALIZACION | Señal LED | N/A | TIPO 6 | TBD | TBD |
| UFV36 | 2.1 | BALIZA_403 | 403+000 | Baliza Señal | Centro | PK403+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV37 | 2.1 | BALIZA_405 | 405+000 | Baliza Kilometraje | Centro | PK405+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV37 | 2.1 | ESTACION_FUL_PAPAL | 406+184 | Estación Menor | Centro | PK406+184 Centro | EDIFICACION | Apeadero | N/A | N/A | TBD | TBD |
| UFV37 | 2.1 | EBT_11_FUL_PAPAL | 406+184 | Estación Base TETRA 11 | Derecha | PK406+184 Derecha | TELECOMUNICACIONES | TETRA BS | SWA_FUL_01 | TIPO 5 | TBD | TBD |
| UFV37 | 2.1 | CCTV_FUL_01 | 406+184 | Cámara Estación | Derecha | PK406+184 Derecha | EQUIPO ITS | CCTV Fija | SWA_FUL_01 | TIPO 2 | TBD | TBD |
| UFV37 | 2.1 | BALIZA_FUL_01 | 406+184 | Baliza Entrada | Centro | PK406+184 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV37 | 2.1 | EMPALME_FO_15 | 408+000 | Empalme Fibra Óptica | Izquierda | PK408+000 Izquierda | TELECOMUNICACIONES | Caja Empalme | N/A | N/A | TBD | TBD |
| UFV37 | 2.1 | BALIZA_410 | 410+000 | Baliza Kilometraje | Centro | PK410+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV37 | 2.1 | BALIZA_415 | 415+000 | Baliza Kilometraje | Centro | PK415+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV38 | 2.1 | ESTACION_LA_VIZCAINA | 418+000 | Estación Menor | Centro | PK418+000 Centro | EDIFICACION | Apeadero | N/A | N/A | TBD | TBD |
| UFV38 | 2.1 | CCTV_VIZ_01 | 418+000 | Cámara Estación | Derecha | PK418+000 Derecha | EQUIPO ITS | CCTV Fija | SWA_VIZ_01 | TIPO 2 | TBD | TBD |
| UFV38 | 2.1 | BALIZA_VIZ_01 | 418+000 | Baliza Entrada | Centro | PK418+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV38 | 2.1 | BALIZA_420 | 420+000 | Baliza Kilometraje | Centro | PK420+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV38 | 2.1 | EMPALME_FO_16 | 422+000 | Empalme Fibra Óptica | Derecha | PK422+000 Derecha | TELECOMUNICACIONES | Caja Empalme | N/A | N/A | TBD | TBD |
| UFV38 | 2.1 | BALIZA_425 | 425+000 | Baliza Kilometraje | Centro | PK425+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV38 | 2.1 | SEÑAL_INT_11 | 428+000 | Señal Intermedia | Derecha | PK428+000 Derecha | SEÑALIZACION | Señal LED | N/A | TIPO 6 | TBD | TBD |
| UFV38 | 2.1 | BALIZA_428 | 428+000 | Baliza Señal | Centro | PK428+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV39 | 2.1 | BALIZA_430 | 430+000 | Baliza Kilometraje | Centro | PK430+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV39 | 2.1 | ESTACION_BOCAS | 430+498 | Estación Menor | Centro | PK430+498 Centro | EDIFICACION | Apeadero | N/A | N/A | TBD | TBD |
| UFV39 | 2.1 | EBT_12_BOCAS | 430+498 | Estación Base TETRA 12 | Derecha | PK430+498 Derecha | TELECOMUNICACIONES | TETRA BS | SWA_BOC_01 | TIPO 5 | TBD | TBD |
| UFV39 | 2.1 | CCTV_BOC_01 | 430+498 | Cámara Estación | Derecha | PK430+498 Derecha | EQUIPO ITS | CCTV Fija | SWA_BOC_01 | TIPO 2 | TBD | TBD |
| UFV39 | 2.1 | BALIZA_BOC_01 | 430+498 | Baliza Entrada | Centro | PK430+498 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV39 | 2.1 | SEÑAL_PROT_CB_01 | 432+000 | Señal Protección Puente Cuatro Bocas | Derecha | PK432+000 Derecha | SEÑALIZACION | Señal LED Principal | N/A | TIPO 6 | TBD | TBD |
| UFV39 | 2.1 | BALIZA_PROT_CB_01 | 432+100 | Baliza Protección | Centro | PK432+100 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV39 | 2.1 | PUENTE_RIO_CUATRO_BOCAS_INICIO | 432+178 | Puente Río Cuatro Bocas - Inicio | Centro | PK432+178 Centro | INFRAESTRUCTURA | Puente Prioritario | N/A | N/A | TReintentarDZContinuarBD | TBD |
| UFV39 | 2.1 | CCTV_CB_01 | 432+178 | Cámara Puente Entrada | Derecha | PK432+178 Derecha | EQUIPO ITS | CCTV PTZ | SWA_CB_01 | TIPO 2 | TBD | TBD |
| UFV39 | 2.1 | BALIZA_CB_ENTRADA | 432+178 | Baliza Entrada Puente | Centro | PK432+178 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV39 | 2.1 | DETECTOR_SISMICO_CB_01 | 432+200 | Detector Sísmico | Centro | PK432+200 Centro | EQUIPO ITS | Detector Sísmico | SWA_CB_01 | TIPO 4 | TBD | TBD |
| UFV39 | 2.1 | CCTV_CB_02 | 432+200 | Cámara Puente Centro | Izquierda | PK432+200 Izquierda | EQUIPO ITS | CCTV PTZ | SWA_CB_01 | TIPO 2 | TBD | TBD |
| UFV39 | 2.1 | BALIZA_CB_SALIDA | 432+223 | Baliza Salida Puente | Centro | PK432+223 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV39 | 2.1 | PUENTE_RIO_CUATRO_BOCAS_FIN | 432+223 | Puente Río Cuatro Bocas - Fin | Centro | PK432+223 Centro | INFRAESTRUCTURA | Puente Prioritario | N/A | N/A | TBD | TBD |
| UFV39 | 2.1 | CCTV_CB_03 | 432+223 | Cámara Puente Salida | Derecha | PK432+223 Derecha | EQUIPO ITS | CCTV PTZ | SWA_CB_01 | TIPO 2 | TBD | TBD |
| UFV39 | 2.1 | SEÑAL_PROT_CB_02 | 432+300 | Señal Protección Puente | Derecha | PK432+300 Derecha | SEÑALIZACION | Señal LED Principal | N/A | TIPO 6 | TBD | TBD |
| UFV39 | 2.1 | EMPALME_FO_17 | 435+000 | Empalme Fibra Óptica | Izquierda | PK435+000 Izquierda | TELECOMUNICACIONES | Caja Empalme | N/A | N/A | TBD | TBD |
| UFV39 | 2.1 | BALIZA_435 | 435+000 | Baliza Kilometraje | Centro | PK435+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV39 | 2.1 | WILD_02_PRE_BERMEJO | 438+000 | Detector Impactos Rueda 02 | Centro | PK438+000 Centro | EQUIPO ITS | WILD Sistema | SWA_WILD_02 | TIPO 4 | TBD | TBD |
| UFV39 | 2.1 | BALIZA_438 | 438+000 | Baliza Kilometraje | Centro | PK438+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV39 | 2.1 | BALIZA_440 | 440+000 | Baliza Kilometraje | Centro | PK440+000 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV39 | 2.1 | SEÑAL_ENTRADA_BERMEJO | 441+500 | Señal Entrada B/Bermejo | Derecha | PK441+500 Derecha | SEÑALIZACION | Señal LED Principal | N/A | TIPO 6 | TBD | TBD |
| UFV39 | 2.1 | BALIZA_ENTRADA_BERMEJO | 441+700 | Baliza Entrada Complejo | Centro | PK441+700 Centro | CONTROL | Eurobalise | N/A | TIPO 9 | TBD | TBD |
| UFV40/41 | 2.1/2.2 | COMPLEJO_BERMEJO_INICIO | 441+932 | B/Bermejo - Límite Lotes | Centro | PK441+932 Centro | INFRAESTRUCTURA | Complejo Principal | N/A | N/A | TBD | TBD |
| UFV40/41 | 2.1/2.2 | ESTACION_BERMEJO | 441+932 | Estación Principal B/Bermejo | Centro | PK441+932 Centro | EDIFICACION | Estación Clase A+ | N/A | N/A | TBD | TBD |
| UFV40/41 | 2.1/2.2 | CCO_PRINCIPAL | 441+932 | Centro Control Operacional | Centro | PK441+932 Centro | EDIFICACION | CCO Master | N/A | N/A | TBD | TBD |
| UFV40/41 | 2.1/2.2 | TALLER_PESADO | 441+932 | Taller Mantenimiento Pesado | Derecha | PK441+932 Derecha | EDIFICACION | Taller Mayor | N/A | N/A | TBD | TBD |
| UFV40/41 | 2.1/2.2 | SE_BERMEJO_PRINCIPAL | 441+932 | Subestación Eléctrica Principal | Derecha | PK441+932 Derecha | ENERGIA | Subestación AT/MT | N/A | N/A | TBD | TBD |
| UFV40/41 | 2.1/2.2 | SE_BERMEJO_RESPALDO | 442+000 | Subestación Eléctrica Respaldo | Izquierda | PK442+000 Izquierda | ENERGIA | Subestación MT/BT | N/A | N/A | TBD | TBD |
| UFV40/41 | 2.1/2.2 | CTC_BERMEJO_MAESTRO | 441+932 | Centro Control CTC Maestro | Centro | PK441+932 Centro | CONTROL | CTC Regional | SWA_BER_CORE_01 | TIPO 7 | TBD | TBD |
| UFV40/41 | 2.1/2.2 | CTC_BERMEJO_RESPALDO | 441+932 | Centro Control CTC Respaldo | Centro | PK441+932 Centro | CONTROL | CTC Hot-Standby | SWA_BER_CORE_02 | TIPO 7 | TBD | TBD |
| UFV40/41 | 2.1/2.2 | RBC_03_BERMEJO_MAESTRO | 441+932 | Radio Block Center 03 Maestro | Centro | PK441+932 Centro | CONTROL | RBC ETCS L2 | SWA_BER_CORE_01 | TIPO 7 | TBD | TBD |
| UFV40/41 | 2.1/2.2 | RBC_03_BERMEJO_RESPALDO | 441+932 | Radio Block Center 03 Respaldo | Centro | PK441+932 Centro | CONTROL | RBC ETCS L2 Hot-Standby | SWA_BER_CORE_02 | TIPO 7 | TBD | TBD |
| UFV40/41 | 2.1/2.2 | EBT_13_BERMEJO | 441+932 | Estación Base TETRA 13 | Derecha | PK441+932 Derecha | TELECOMUNICACIONES | TETRA BS | SWA_BER_CORE_01 | TIPO 5 | TBD | TBD |
| UFV40/41 | 2.1/2.2 | NODO_FO_BERMEJO_CORE | 441+932 | Nodo Core Fibra Óptica | Centro | PK441+932 Centro | TELECOMUNICACIONES | ODF 96 hilos + DWDM | SWA_BER_CORE_01 | TIPO 5 | TBD | TBD |
| UFV40/41 | 2.1/2.2 | DATACENTER_CCO | 441+932 | Centro de Datos CCO | Centro | PK441+932 Centro | TELECOMUNICACIONES | Datacenter Tier III | SWA_BER_CORE_01 | TIPO 5 | TBD | TBD |
| UFV40/41 | 2.1/2.2 | SAI_BERMEJO_PRINCIPAL | 441+932 | UPS Principal CCO | Centro | PK441+932 Centro | ENERGIA | UPS 200kVA N+1 | N/A | N/A | TBD | TBD |
| UFV40/41 | 2.1/2.2 | SAI_BERMEJO_TALLER | 441+932 | UPS Taller Pesado | Derecha | PK441+932 Derecha | ENERGIA | UPS 60kVA | N/A | N/A | TBD | TBD |
| UFV40/41 | 2.1/2.2 | GENERADOR_BERMEJO_01 | 441+932 | Grupo Electrógeno Principal | Derecha | PK441+932 Derecha | ENERGIA | Generador 500kVA | N/A | N/A | TBD | TBD |
| UFV40/41 | 2.1/2.2 | GENERADOR_BERMEJO_02 | 441+932 | Grupo Electrógeno Respaldo | Izquierda | PK441+932 Izquierda | ENERGIA | Generador 500kVA | N/A | N/A | TBD | TBD |
| UFV40/41 | 2.1/2.2 | CCTV_BER_01 | 441+850 | Cámara Perímetro Norte | Derecha | PK441+850 Derecha | EQUIPO ITS | CCTV PTZ | SWA_BER_SEC_01 | TIPO 2 | TBD | TBD |
| UFV40/41 | 2.1/2.2 | CCTV_BER_02 | 441+900 | Cámara Acceso Principal | Centro | PK441+900 Centro | EQUIPO ITS | CCTV PTZ | SWA_BER_SEC_01 | TIPO 2 | TBD | TBD |
| UFV40/41 | 2.1/2.2 | CCTV_BER_03 | 441+932 | Cámara Andén Estación | Izquierda | PK441+932 Izquierda | EQUIPO ITS | CCTV Fija | SWA_BER_SEC_02 | TIPO 2 | TBD | TBD |
| UFV40/41 | 2.1/2.2 | CCTV_BER_04 | 441+950 | Cámara Patio Maniobras | Derecha | PK441+950 Derecha | EQUIPO ITS | CCTV PTZ | SWA_BER_SEC_02 | TIPO 2 | TBD | TBD |
| UFV40/41 | 2.1/2.2 | CCTV_BER_05 | 441+970 | Cámara Acceso Taller | Derecha | PK441+970 Derecha | EQUIPO ITS | CCTV PTZ | SWA_BER_SEC_03 | TIPO 2 | TBD | TBD |
